Authors,Year,Title,Source_Title,Key_Variable,Role_in_Model,Operationalization_Key_Variable,Secondary_Variable,Operationalization_Secondary_Variable,Study_Type,Country,Focal_Group,Tradition,Meta_Narrative
"Brewer, GA; Walker, RM",2010,Explaining Variation in Perceptions of Red Tape: A Professionalism-Marketization Model,Public Administration,Red tape,DV,Survey,Professionalization and marketization,Survey,Quantitative,United Kingdom,Government - Managers or administrative workers,Red Tape,Rule Quality
"Brewer, GA; Walker, RM",2010,The Impact of Red Tape on Governmental Performance: An Empirical Analysis,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Government performance,Survey and administrative data,Quantitative,United Kingdom,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Brewer, GA; Walker, RM",2010,Red Tape: the Bane of Public Organizations,Public Management and Performance: Research Directions,Red tape,IV,Case study/Examples,NA,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Brodkin, EZ; Majmundar, M",2010,Administrative Exclusion: Organizations and the Hidden Costs of Welfare Claiming,Journal of Public Administration Research and Theory,Administrative burden,DV,Survey,Case load reductions,Administrative data,Quantitative,USA,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Feeney, MK; Rainey, HG",2010,Personnel Flexibility and Red Tape in Public And Nonprofit Organizations: Distinctions Due To Institutional And Political Accountability,Journal of Public Administration Research and Theory,Red tape,DV,Survey,Sector,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Moynihan, D; Herd, P",2010,Red Tape and Democracy: How Rules Affect Citizenship Rights,American Review of Public Administration,Administrative burden,IV,Case study/Examples,Access to public programs or institutions,NA,Theoretical,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Wright, BE; Pandey, SK",2010,Transformational Leadership in the Public Sector: Does Structure Matter?,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Transformational leadership,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Bozeman, B; Feeney, MK",2011,Rules and Red Tape: A Prism For Public Administration Theory And Research,Book,Red tape,MedV,Case study/Examples,NA,NA,Theoretical,None,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Feeney, MK; Boardmany, C",2011,Organizational Confidence: An Empirical Assessment of Highly Positive Public Managers,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Organizational confidence,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Moulton, S; Feeney, MK",2011,Public Service in the Private Sector: Private Loan Originator Participation In A Public Mortgage Program,Journal of Public Administration Research and Theory,Red tape,IV,Survey,Probability of originating a pubicly subsudized loan,Survey,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Behavioral Impact
"Ponomariov, BL; Boardman, PC",2011,Organizational Pathology Compared To What? Impacts of Job Characteristics and Career Trajectory on Perceptions Of Organizational Red Tape,Public Administration Review,Red tape,DV,Survey,Prior career trajectory and occupational context,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Rule Quality
"Stazyk, EC; Pandey, SK; Wright, BE",2011,Understanding Affective Organizational Commitment: the Importance of Institutional Context,American Review of Public Administration,Red tape,MedV,Survey,Political control and organizational commitment,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Yang, KF; Pandey, SK",2011,Further Dissecting the Black Box of Citizen Participation: When Does Citizen Involvement Lead To Good Outcomes?,Public Administration Review,Red tape,IV,Survey,Public participation outcomes,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Administrative Performance
